# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_c_p86
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: hard (N0 = 400 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1 -6.1474727820e-02
LI     polarized       50         1 -5.2695849656e-02
N      unpolarized    100         1 -2.2506263890e-01
N      polarized      100         1 -1.9794911195e-01
NE     unpolarized    400         1 -3.8911353832e-01
NE     polarized      400         1 -3.8911353832e-01
NA     unpolarized    400         1 -4.2130667543e-01
NA     polarized      400         1 -4.1404294813e-01
P      unpolarized    200         1 -6.1974230585e-01
P      polarized      200         1 -5.9706933696e-01
AR     unpolarized    400         1 -8.0209292383e-01
AR     polarized      400         1 -8.0209292383e-01
