# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_apbe
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4606776430e+00
LI     polarized       50         1  7.4812545814e+00
N      unpolarized    100         1  5.3739410852e+01
N      polarized      100         1  5.4573853620e+01
NE     unpolarized    100         1  1.2872591957e+02
NE     polarized      100         1  1.2872591957e+02
NA     unpolarized    100         1  1.6224796211e+02
NA     polarized      100         1  1.6226308474e+02
P      unpolarized    100         1  3.4177522394e+02
P      polarized      100         1  3.4207030794e+02
AR     unpolarized    100         1  5.2862818842e+02
AR     polarized      100         1  5.2862818842e+02
