# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_apbeint
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.3922071751e+00
LI     polarized       50         1  7.4126445343e+00
N      unpolarized    100         1  5.3250962528e+01
N      polarized      100         1  5.4084719540e+01
NE     unpolarized    100         1  1.2757718879e+02
NE     polarized      100         1  1.2757718879e+02
NA     unpolarized    100         1  1.6080944499e+02
NA     polarized      100         1  1.6082435064e+02
P      unpolarized    100         1  3.3880846384e+02
P      polarized      100         1  3.3910432715e+02
AR     unpolarized    100         1  5.2410756895e+02
AR     polarized      100         1  5.2410756895e+02
