# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_fr_b88
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4475031743e+00
LI     polarized       50         1  7.4688900572e+00
N      unpolarized    100         1  5.3630951596e+01
N      polarized      100         1  5.4480445145e+01
NE     unpolarized    100         1  1.2854901594e+02
NE     polarized      100         1  1.2854901594e+02
NA     unpolarized    100         1  1.6204998803e+02
NA     polarized      100         1  1.6206656205e+02
P      unpolarized    100         1  3.4151589446e+02
P      polarized      100         1  3.4181266468e+02
AR     unpolarized    100         1  5.2837395974e+02
AR     polarized      100         1  5.2837395974e+02
