# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_gds08
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  8.0257333458e+00
LI     polarized       50         1  8.2152948001e+00
N      unpolarized    100         1  4.8480692145e+01
N      polarized      100         1  4.9055626545e+01
NE     unpolarized    100         1  9.9767514910e+01
NE     polarized      100         1  9.9767514910e+01
NA     unpolarized    100         1  1.2013563248e+02
NA     polarized      100         1  1.2032068569e+02
P      unpolarized    100         1  2.2530909056e+02
P      polarized      100         1  2.2567261574e+02
AR     unpolarized    100         1  3.2695437489e+02
AR     polarized      100         1  3.2695437489e+02
