# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_ge2
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4788638775e+00
LI     polarized       25         1  7.5050544938e+00
N      unpolarized     50         1  5.3494004437e+01
N      polarized      100         1  5.4384445617e+01
NE     unpolarized    100         1  1.2782901969e+02
NE     polarized      100         1  1.2782901969e+02
NA     unpolarized    100         1  1.6105905494e+02
NA     polarized      100         1  1.6108178856e+02
P      unpolarized    100         1  3.3901237305e+02
P      polarized      100         1  3.3932144547e+02
AR     unpolarized    100         1  5.2422322558e+02
AR     polarized      100         1  5.2422322558e+02
