# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_gr
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  8.2971051768e+00
LI     polarized       50         1  8.3456372771e+00
N      unpolarized    100         1  5.1827254240e+01
N      polarized      100         1  5.2337858107e+01
NE     unpolarized    100         1  1.1004676991e+02
NE     polarized      100         1  1.1004676991e+02
NA     unpolarized    100         1  1.3506108839e+02
NA     polarized      100         1  1.3511648605e+02
P      unpolarized    100         1  2.6330875446e+02
P      polarized      100         1  2.6350617570e+02
AR     unpolarized    100         1  3.8927884087e+02
AR     polarized      100         1  3.8927884087e+02
