# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_lgap
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.5121945205e+00
LI     polarized       50         1  7.5316829769e+00
N      unpolarized    100         1  5.3959404181e+01
N      polarized      100         1  5.4807972739e+01
NE     unpolarized    100         1  1.2900451786e+02
NE     polarized      100         1  1.2900451786e+02
NA     unpolarized    100         1  1.6255096150e+02
NA     polarized      100         1  1.6256410308e+02
P      unpolarized    100         1  3.4213514195e+02
P      polarized      100         1  3.4243625394e+02
AR     unpolarized    100         1  5.2898143480e+02
AR     polarized      100         1  5.2898143480e+02
