# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_lgap_ge
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.6641861641e+00
LI     polarized       50         1  7.6979967341e+00
N      unpolarized     50         1  5.4540097043e+01
N      polarized      100         1  5.5458327618e+01
NE     unpolarized    100         1  1.2994824819e+02
NE     polarized      100         1  1.2994824819e+02
NA     unpolarized    100         1  1.6362921795e+02
NA     polarized      100         1  1.6366023565e+02
P      unpolarized    100         1  3.4389743833e+02
P      polarized      100         1  3.4421442902e+02
AR     unpolarized    100         1  5.3135245757e+02
AR     polarized      100         1  5.3135245757e+02
