# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_pbe2
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  1.3334698189e+01
LI     polarized      100         1  1.3350638049e+01
N      unpolarized    100         1  9.2163880184e+01
N      polarized      100         1  9.2888223306e+01
NE     unpolarized    100         1  2.1111567678e+02
NE     polarized      100         1  2.1111567678e+02
NA     unpolarized    100         1  2.6343654127e+02
NA     polarized      100         1  2.6343831188e+02
P      unpolarized    100         1  5.3884907257e+02
P      polarized      100         1  5.3916415639e+02
AR     unpolarized    100         1  8.1913523159e+02
AR     polarized      100         1  8.1913523159e+02
