# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_perdew
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4804507480e+00
LI     polarized       25         1  7.5066513858e+00
N      unpolarized     50         1  5.3503634593e+01
N      polarized      100         1  5.4394155884e+01
NE     unpolarized    100         1  1.2784887576e+02
NE     polarized      100         1  1.2784887576e+02
NA     unpolarized    100         1  1.6108325106e+02
NA     polarized      100         1  1.6110599641e+02
P      unpolarized    100         1  3.3905850566e+02
P      polarized      100         1  3.3936761068e+02
AR     unpolarized    100         1  5.2429047305e+02
AR     polarized      100         1  5.2429047305e+02
