# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_tfvw_opt
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  8.9652708795e+00
LI     polarized       25         1  9.0070135077e+00
N      unpolarized    100         1  6.0130788558e+01
N      polarized      100         1  6.0944636620e+01
NE     unpolarized    100         1  1.3635666466e+02
NE     polarized      100         1  1.3635666466e+02
NA     unpolarized    100         1  1.6989451585e+02
NA     polarized      100         1  1.6993780060e+02
P      unpolarized    100         1  3.4646313108e+02
P      polarized      100         1  3.4675634525e+02
AR     unpolarized    100         1  5.2624385249e+02
AR     polarized      100         1  5.2624385249e+02
