# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_tw1
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.4499097664e+00
LI     polarized       50         1  7.4704676319e+00
N      unpolarized    100         1  5.3661512977e+01
N      polarized      100         1  5.4496915079e+01
NE     unpolarized    100         1  1.2854698250e+02
NE     polarized      100         1  1.2854698250e+02
NA     unpolarized    100         1  1.6202548384e+02
NA     polarized      100         1  1.6204059171e+02
P      unpolarized    100         1  3.4132621605e+02
P      polarized      100         1  3.4162155631e+02
AR     unpolarized    100         1  5.2795359627e+02
AR     polarized      100         1  5.2795359627e+02
