# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_vjks
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  7.0117379517e+00
LI     polarized       50         1  7.0026626169e+00
N      unpolarized    100         1  5.1775559683e+01
N      polarized      100         1  5.2462135193e+01
NE     unpolarized    100         1  1.2536616646e+02
NE     polarized      100         1  1.2536616646e+02
NA     unpolarized    100         1  1.5834500587e+02
NA     polarized      100         1  1.5832312951e+02
P      unpolarized    100         1  3.3518902737e+02
P      polarized      100         1  3.3544645122e+02
AR     unpolarized    100         1  5.1965369946e+02
AR     polarized      100         1  5.1965369946e+02
