# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_vsk
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1  7.7059333706e+00
LI     polarized      100         1  7.7991237556e+00
N      unpolarized    100         1  5.3814279178e+01
N      polarized      100         1  5.4912226104e+01
NE     unpolarized    100         1  1.2817793907e+02
NE     polarized      100         1  1.2817793907e+02
NA     unpolarized    100         1  1.6131504171e+02
NA     polarized      100         1  1.6143239894e+02
P      unpolarized    100         1  3.3918335894e+02
P      polarized      100         1  3.3952817354e+02
AR     unpolarized    100         1  5.2436707053e+02
AR     polarized      100         1  5.2436707053e+02
