# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_k_yt65
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1  8.1184041855e+00
LI     polarized       25         1  8.1485978300e+00
N      unpolarized     50         1  5.7387564705e+01
N      polarized      100         1  5.8310935267e+01
NE     unpolarized    100         1  1.3588352978e+02
NE     polarized      100         1  1.3588352978e+02
NA     unpolarized    100         1  1.7088203825e+02
NA     polarized      100         1  1.7090944838e+02
P      unpolarized    100         1  3.5778894008e+02
P      polarized      100         1  3.5811127039e+02
AR     unpolarized    100         1  5.5163869456e+02
AR     polarized      100         1  5.5163869456e+02
