# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: gga_x_ft97_a
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1 -1.7704088186e+00
LI     polarized       50         1 -1.7876249600e+00
N      unpolarized     50         1 -6.4446166767e+00
N      polarized      100         1 -6.5892576274e+00
NE     unpolarized    100         1 -1.2094536059e+01
NE     polarized      100         1 -1.2094536059e+01
NA     unpolarized     50         1 -1.3962040356e+01
NA     polarized       50         1 -1.3975790111e+01
P      unpolarized    100         1 -2.2415359602e+01
P      polarized      100         1 -2.2505403365e+01
AR     unpolarized    100         1 -2.9978678919e+01
AR     polarized      100         1 -2.9978678919e+01
