# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: hyb_mgga_x_m06_2x
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: medium (N0 = 200 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1 -8.1532890245e-01
LI     polarized      100         1 -8.1934101052e-01
N      unpolarized    100         1 -2.9901838628e+00
N      polarized      200         1 -3.0229986761e+00
NE     unpolarized    100         1 -5.5428461182e+00
NE     polarized      100         1 -5.5428461182e+00
NA     unpolarized    100         1 -6.3921365543e+00
NA     polarized      100         1 -6.3972776681e+00
P      unpolarized    100         1 -1.0269556118e+01
P      polarized      100         1 -1.0294271064e+01
AR     unpolarized    200         1 -1.3715794322e+01
AR     polarized      200         1 -1.3715794322e+01
