# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: hyb_mgga_x_m06_hf
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: medium (N0 = 200 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1 -1.6803673703e-02
LI     polarized      100         1 -2.3741153789e-03
N      unpolarized    100         1 -9.9424093830e-02
N      polarized      100         1  3.2344683647e-05
NE     unpolarized    100         1  5.0370346828e-02
NE     polarized      100         1  5.0370346828e-02
NA     unpolarized    100         1  5.0027614938e-02
NA     polarized      100         1  6.9544227784e-02
P      unpolarized    100         1  1.0057135636e-01
P      polarized      100         1  1.5258111778e-01
AR     unpolarized    200         1  2.3359563625e-01
AR     polarized      200         1  2.3359563625e-01
