# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: lda_c_epc17_2
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     50         1 -9.7341335751e-02
LI     polarized       50         1 -9.7167169802e-02
N      unpolarized    100         1 -1.7480585816e-01
N      polarized      100         1 -1.3779385986e-01
NE     unpolarized     50         1 -4.3715633673e-01
NE     polarized       50         1 -4.3715633673e-01
NA     unpolarized     50         1 -4.3050745753e-01
NA     polarized       50         1 -4.3037148289e-01
P      unpolarized    100         1 -3.1998482115e-01
P      polarized      100         1 -3.1259303872e-01
AR     unpolarized    100         1 -4.0257079343e-01
AR     polarized      100         1 -4.0257079343e-01
