# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: lda_c_pmgb06
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 50 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized     25         1 -3.2330841199e-02
LI     polarized       50         1 -2.7030155133e-02
N      unpolarized     25         1 -5.9235518868e-02
N      polarized       25         1 -5.7595033317e-02
NE     unpolarized     25         1 -6.6353953282e-02
NE     polarized       25         1 -6.6353953282e-02
NA     unpolarized     25         1 -7.5951311907e-02
NA     polarized       25         1 -7.1381680096e-02
P      unpolarized     25         1 -1.0426523134e-01
P      polarized       25         1 -1.0308164042e-01
AR     unpolarized     50         1 -1.1400915333e-01
AR     polarized       50         1 -1.1400915333e-01
