# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: lda_k_lp96_b
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: pathological (never converges)
# system  spin         npts  converged  E_xc
LI     unpolarized   3200         0  3.1866424730e+03
LI     polarized     3200         0  3.0360698156e+03
N      unpolarized   3200         0  6.0011916893e+02
N      polarized     3200         0  5.6709216796e+02
NE     unpolarized   3200         0  3.3898208225e+02
NE     polarized     3200         0  3.3367822008e+02
NA     unpolarized   3200         0  3.6571644616e+03
NA     polarized     3200         0  3.4599565883e+03
P      unpolarized   3200         0  1.1392018403e+03
P      polarized     3200         0  1.0799068512e+03
AR     unpolarized   3200         0  6.3570369764e+02
AR     polarized     3200         0  6.2699484879e+02
