# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: mgga_c_tpss
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1 -5.9019053468e-02
LI     polarized       50         1 -4.9276658440e-02
N      unpolarized    100         1 -2.0510709731e-01
N      polarized       50         1 -1.8580327391e-01
NE     unpolarized    100         1 -3.5441833054e-01
NE     polarized      100         1 -3.5441833054e-01
NA     unpolarized    100         1 -3.8001043594e-01
NA     polarized      100         1 -3.7263505760e-01
P      unpolarized    100         1 -5.4843521450e-01
P      polarized      100         1 -5.3172570508e-01
AR     unpolarized    100         1 -7.1103926001e-01
AR     polarized      100         1 -7.1103926001e-01
