# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: mgga_k_gea4
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: pathological (never converges)
# system  spin         npts  converged  E_xc
LI     unpolarized   1600         1  7.6622965675e+00
LI     polarized      400         1  7.7045381939e+00
N      unpolarized   1600         1  5.4489193105e+01
N      polarized      200         1  5.5411946996e+01
NE     unpolarized   1600         1  1.2976665580e+02
NE     polarized     1600         1  1.2976665580e+02
NA     unpolarized   3200         0  1.6338011192e+02
NA     polarized      800         1  1.6341813883e+02
P      unpolarized   1600         1  3.4333192655e+02
P      polarized     1600         1  3.4364433099e+02
AR     unpolarized   1600         1  5.3043997832e+02
AR     polarized     1600         1  5.3043997832e+02
