# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: mgga_k_l04
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: normal (N0 = 100 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1  7.6253015904e+00
LI     polarized      100         1  7.6447099454e+00
N      unpolarized    100         1  5.4561200865e+01
N      polarized      100         1  5.5392608998e+01
NE     unpolarized    100         1  1.2974091850e+02
NE     polarized      100         1  1.2974091850e+02
NA     unpolarized    100         1  1.6334550496e+02
NA     polarized      100         1  1.6335756425e+02
P      unpolarized    100         1  3.4316283258e+02
P      polarized      100         1  3.4346641138e+02
AR     unpolarized    100         1  5.3006651867e+02
AR     polarized      100         1  5.3006651867e+02
