# 3D exchange-correlation energies (Hartree) at the radial-quadrature convergence limit
# functional: mgga_k_l06
# probe atoms (3D): Lehtola & Marques, J. Chem. Phys. 157, 174114 (2022)
# convergence: medium (N0 = 200 radial points)
# system  spin         npts  converged  E_xc
LI     unpolarized    100         1  7.6358035470e+00
LI     polarized      100         1  7.6536612538e+00
N      unpolarized    100         1  5.4450275250e+01
N      polarized      200         1  5.5361066021e+01
NE     unpolarized    100         1  1.2959029265e+02
NE     polarized      100         1  1.2959029265e+02
NA     unpolarized    100         1  1.6319336081e+02
NA     polarized      100         1  1.6320226480e+02
P      unpolarized    100         1  3.4293327936e+02
P      polarized      100         1  3.4324629416e+02
AR     unpolarized    100         1  5.2980740658e+02
AR     polarized      100         1  5.2980740658e+02
